qa,qb,name_a,arr_a,name_b,arr_b,n_collisions,shape,extent_m,az_deg,centroid_lat,centroid_lng,median_d_a_m,median_d_b_m,asymmetry_median,highway_types,density_per_100m
154,163,Mifongou,5ème Arrondissement,Gbéto,5ème Arrondissement,2,intersection,15.7,139.6,6.362218,2.423685,253.5,288.2,0.12,primary|secondary|tertiary,12.75
154,163,Mifongou,5ème Arrondissement,Gbéto,5ème Arrondissement,1,point,0.0,,6.361828,2.425381,293.2,256.7,0.124,residential,
6,206,Nouveau-Pont,5ème Arrondissement,Sèdjro-Saint-Michel,7ème Arrondissement,4,linear_corridor,54.6,55.5,6.367125,2.429909,266.7,16.1,0.94,primary,7.33
6,206,Nouveau-Pont,5ème Arrondissement,Sèdjro-Saint-Michel,7ème Arrondissement,2,intersection,18.3,142.3,6.368605,2.431753,9.1,267.4,0.966,primary|secondary,10.95
6,206,Nouveau-Pont,5ème Arrondissement,Sèdjro-Saint-Michel,7ème Arrondissement,1,point,0.0,,6.368189,2.430065,260.4,170.6,0.345,residential,
235,291,Houéyihô,11ème Arrondissement,Vodjè-Kpota,12ème Arrondissement,9,intersection,102.1,-172.1,6.368722,2.396859,262.5,248.2,0.054,residential|secondary|tertiary,8.81
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,1,point,0.0,,6.371438,2.409925,0.0,203.2,1.0,primary|residential|secondary|trunk,
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,2,intersection,19.9,54.6,6.371309,2.411553,91.3,283.0,0.677,primary|residential,10.03
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,3,linear_corridor,60.0,128.1,6.370419,2.410993,71.2,161.6,0.559,residential|trunk,5.0
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,1,point,0.0,,6.370211,2.408312,94.3,297.5,0.683,secondary,
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,1,point,0.0,,6.371308,2.410842,16.3,219.5,0.926,primary,
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,1,point,0.0,,6.370898,2.408928,17.7,220.8,0.92,secondary,
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,1,point,0.0,,6.372281,2.408773,64.2,267.4,0.76,residential,
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,2,intersection,34.2,53.1,6.369521,2.412127,208.5,17.1,0.918,residential|trunk,5.84
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,1,point,0.0,,6.369094,2.412556,268.3,66.8,0.751,residential|trunk,
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,2,intersection,30.5,58.2,6.369886,2.411643,147.2,81.1,0.449,residential|trunk,6.55
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,2,intersection,18.9,51.7,6.371157,2.413271,282.0,274.8,0.025,primary|residential,10.6
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,2,intersection,19.5,53.2,6.371234,2.412415,186.9,286.9,0.348,primary|residential,10.24
155,215,Gbégamey-Gbagoudo,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,1,point,0.0,,6.369533,2.410209,210.3,281.7,0.253,residential,
118,155,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Gbagoudo,11ème Arrondissement,1,point,0.0,,6.371438,2.409925,291.0,0.0,1.0,primary|residential|secondary|trunk,
118,155,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Gbagoudo,11ème Arrondissement,1,point,0.0,,6.369488,2.408276,197.8,183.7,0.071,residential,
