name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Anagbo,ABOMEY-CALAVI,Kpanroun,6.687158,2.338777,2.6,4,90087,3,3,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Zongo-Nima,COTONOU,5ème Arrondissement,6.356251,2.427883,10.6,5,90087,15,7,8,46.7,-3,0,8,False,PARTIAL
Misséssinto,ABOMEY-CALAVI,Akassato,6.515327,2.363089,4.3,4,90087,5,5,0,100.0,0,0,2,False,GOOD
"Cité-les-Palmiers
",ABOMEY-CALAVI,Abomey-Calavi,6.479119,2.337516,16.5,3,90087,10,9,2,90.0,0,0,0,False,PARTIAL
Agbatô,COTONOU,3ème Arrondissement,6.393527,2.441546,90.0,3,90087,2,2,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Kpé,ABOMEY-CALAVI,Kpanroun,6.653408,2.356156,3.7,3,90087,3,3,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Zongo-Ehuzu,COTONOU,5ème Arrondissement,6.352604,2.424037,3.3,5,90087,4,5,0,125.0,1,1,5,False,GOOD
Ahouansori-Towéta,COTONOU,6ème Arrondissement,6.387585,2.427553,83.1,2,90087,4,2,2,50.0,0,0,2,False,PARTIAL
Agongbé,ABOMEY-CALAVI,Golo-Djigbé,6.531936,2.308476,67.5,2,90087,4,3,1,75.0,0,0,0,False,PARTIAL
Tokplégbé,COTONOU,1er Arrondissement,6.36473,2.489578,2.9,5,90087,8,10,1,125.0,-1,0,4,False,GOOD
"Hounzévié
",ABOMEY-CALAVI,Hêvié,6.423287,2.237042,10.4,3,90087,2,2,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Fidjrossè-Centre,COTONOU,12ème Arrondissement,6.357693,2.370617,9.7,3,90087,6,5,1,83.3,0,0,0,False,GOOD
Sodjatinmè-Est,COTONOU,4ème Arrondissement,6.370001,2.459957,2.7,3,90087,5,5,0,100.0,0,0,2,False,GOOD
Adjagbo,ABOMEY-CALAVI,Ouèdo,6.479041,2.279968,11.9,2,90087,4,4,0,100.0,0,0,0,False,GOOD
Gbégamey-Ahito,COTONOU,11ème Arrondissement,6.364892,2.408136,5.8,5,90087,11,14,1,127.3,0,0,3,False,GOOD
Dandji,COTONOU,1er Arrondissement,6.36827,2.478233,6.4,6,90087,12,11,4,91.7,1,1,5,False,PARTIAL
Godomey-N'Gbèho,ABOMEY-CALAVI,Godomey,6.372827,2.340682,4.0,4,90087,9,8,1,88.9,0,0,0,False,GOOD
"Zoundja
",ABOMEY-CALAVI,Abomey-Calavi,6.49741,2.336395,11.0,7,90087,11,7,4,63.6,6,0,5,True,PARTIAL
Abokicodji-Lagune,COTONOU,4ème Arrondissement,6.364563,2.442343,27.9,6,90087,7,10,0,142.9,0,0,0,False,GOOD
Mèdédjro,COTONOU,8ème Arrondissement,6.384965,2.410204,12.7,4,90087,5,6,1,120.0,0,0,0,False,GOOD
Zogbo,COTONOU,9ème Arrondissement,6.392713,2.390599,2.2,3,90087,11,7,4,63.6,0,0,0,False,PARTIAL
Mifongou,COTONOU,5ème Arrondissement,6.363625,2.425367,14.1,5,90087,9,9,1,100.0,0,0,8,False,GOOD
