name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Jéricho-Nord,COTONOU,6ème Arrondissement,6.375399,2.425647,12.7,5,90099,56,47,15,83.9,-8,0,5,False,PARTIAL
Misséssin,COTONOU,4ème Arrondissement,6.370645,2.443651,24.5,4,90099,66,64,7,97.0,5,0,2,True,PARTIAL
Gbodjo,ABOMEY-CALAVI,Abomey-Calavi,6.468531,2.360021,10.9,3,90099,56,47,9,83.9,7,0,0,True,PARTIAL
Kindonou,COTONOU,9ème Arrondissement,6.392222,2.364254,6.3,5,90099,81,59,23,72.8,-1,0,2,False,PARTIAL
"Yénandjro
",ABOMEY-CALAVI,Godomey,6.410203,2.313503,3.7,4,90099,132,107,29,81.1,18,0,0,False,PARTIAL
"Houégoudo
",ABOMEY-CALAVI,Zinvié,6.630823,2.34209,5.3,3,90099,10,8,2,80.0,-1,0,0,False,PARTIAL
"Dénou
",ABOMEY-CALAVI,Godomey,6.380664,2.340791,27.8,6,90099,119,97,29,81.5,23,0,16,True,PARTIAL
Djigbo,ABOMEY-CALAVI,Kpanroun,6.687702,2.374768,11.1,3,90099,3,3,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Djédjé-Layé,COTONOU,2ème Arrondissement,6.388456,2.459343,12.6,5,90099,83,62,24,74.7,2,0,6,True,PARTIAL
"Hêdomè
",ABOMEY-CALAVI,Godomey,6.374946,2.307905,5.9,3,90099,51,44,8,86.3,2,0,0,False,PARTIAL
Ahouassa,COTONOU,2ème Arrondissement,6.382286,2.45933,10.2,4,90099,73,61,14,83.6,0,0,5,True,PARTIAL
Zinvié-Zounmè,ABOMEY-CALAVI,Zinvié,6.622386,2.347936,5.2,3,90099,26,22,4,84.6,1,0,0,False,PARTIAL
Midombo,COTONOU,3ème Arrondissement,6.377283,2.44456,5.0,4,90099,68,51,18,75.0,-1,0,2,True,PARTIAL
